Accession	Submission	Status	Updated	Published	Received	Type	Center	Visibility	Alias	Experiment	Sample	Study	Loaded	Spots	Bases	Md5sum	BioSample	BioProject	ReplacedBy
DRR000003	DRA000003	live	2021-03-22T20:03:40Z	2010-10-14T04:53:29Z	2009-08-06T07:54:12Z	RUN	UT-MGS	public	DRR000003	DRX000003	DRS000003	DRP000003	1	6459732	232550352	f0f7acc74f2cf78d71d20ff39c43d9ff	SAMD00013986	PRJDA34559	-
DRR000004	DRA000003	live	2021-03-31T22:13:33Z	2010-10-14T04:53:29Z	2009-08-06T07:54:13Z	RUN	UT-MGS	public	DRR000004	DRX000003	DRS000003	DRP000003	1	6061180	218202480	36b7c426ae0d167e2350790a74d5f5af	SAMD00013986	PRJDA34559	-
DRR000005	DRA000003	live	2021-03-24T03:45:00Z	2010-10-14T04:53:29Z	2009-08-06T07:54:15Z	RUN	UT-MGS	public	DRR000005	DRX000003	DRS000003	DRP000003	1	6040762	217467432	98db48237d6d85a7911e9e211348ca4e	SAMD00013986	PRJDA34559	-
DRR000006	DRA000003	live	2021-02-10T08:02:31Z	2010-10-14T04:53:29Z	2009-08-06T07:54:16Z	RUN	UT-MGS	public	DRR000006	DRX000003	DRS000003	DRP000003	1	5936619	213718284	44e9583aed5b4dd2a88f59a0802c4d34	SAMD00013986	PRJDA34559	-
DRR000007	DRA000003	live	2021-02-09T18:59:53Z	2010-10-14T04:53:29Z	2009-08-06T07:54:17Z	RUN	UT-MGS	public	DRR000007	DRX000003	DRS000003	DRP000003	1	3503763	126135468	30913b5940bc2aeb0f7901c0c3787dbd	SAMD00013986	PRJDA34559	-
DRR000363	DRA000003	live	2021-07-01T05:42:34Z	2010-10-14T04:53:29Z	2010-04-19T09:51:10Z	RUN	UT-MGS	public	DRR000363	DRX000003	DRS000003	DRP000003	1	43900909	1580432724	deb943deb5d73722fb54afa11e80fc23	SAMD00013986	PRJDA34559	-
DRR000364	DRA000003	live	2021-07-01T05:42:34Z	2010-10-14T04:53:29Z	2010-04-19T09:51:10Z	RUN	UT-MGS	public	DRR000364	DRX000003	DRS000003	DRP000003	1	44984884	1619455824	644d5354fc121d024c927dd0d737ec57	SAMD00013986	PRJDA34559	-
DRR000365	DRA000003	live	2021-07-01T05:42:34Z	2010-10-14T04:53:29Z	2010-04-19T09:51:11Z	RUN	UT-MGS	public	DRR000365	DRX000003	DRS000003	DRP000003	1	45416179	1634982444	5bf6e6761d88165d0d576f13941f0a6c	SAMD00013986	PRJDA34559	-
DRR000366	DRA000003	live	2021-07-01T05:42:34Z	2010-10-14T04:53:29Z	2010-04-19T09:51:11Z	RUN	UT-MGS	public	DRR000366	DRX000003	DRS000003	DRP000003	1	44948037	1618129332	13486e48cc5b7dddfc115ca450fe180c	SAMD00013986	PRJDA34559	-
DRS000003	DRA000003	live	2015-03-26T21:32:35Z	2010-10-14T04:53:29Z	2009-08-06T07:54:07Z	SAMPLE	BioSample	public	SAMD00013986	-	-	-	-	-	-	ccc13b18076453f7319824d49b5b93fb	SAMD00013986	-	-
DRX000003	DRA000003	live	2015-01-30T13:22:33Z	2010-10-14T04:53:29Z	2009-08-06T07:54:10Z	EXPERIMENT	UT-MGS	public	DRX000003	-	DRS000003	DRP000003	-	-	-	1b2dc3ed5addea7c07f8437caca6bf3f	SAMD00013986	PRJDA34559	-
DRA000004	DRA000004	live	2021-03-08T06:11:58Z	2010-10-14T04:54:44Z	2009-08-06T07:55:02Z	SUBMISSION	UT-MGS	public	UT-MGS_52	-	-	-	-	-	-	a58ce0baae250cf4017ea2d6fc5f28d4	-	-	-
DRP000004	DRA000004	live	2020-04-09T00:11:40Z	2010-10-14T04:54:44Z	2009-08-06T07:55:04Z	STUDY	UT-MGS	public	DRP000004	-	-	-	-	-	-	8fa55cade66419aa568003c44c166a63	-	PRJDA34559	-
DRR000008	DRA000004	live	2021-03-08T06:11:58Z	2010-10-14T04:54:44Z	2009-08-06T07:55:14Z	RUN	UT-MGS	public	DRR000008	DRX000004	DRS000004	DRP000004	1	19153889	689540004	67e72aa0693e78757a11be5fa87051d5	SAMD00002711	PRJDA34559	-
DRR000009	DRA000004	live	2021-02-11T00:31:13Z	2010-10-14T04:54:44Z	2009-08-06T07:55:15Z	RUN	UT-MGS	public	DRR000009	DRX000004	DRS000004	DRP000004	1	17668118	636052248	42ee485c97446f17d97e28cb0d5bad57	SAMD00002711	PRJDA34559	-
DRR000010	DRA000004	live	2021-02-24T05:56:15Z	2010-10-14T04:54:44Z	2009-08-06T07:55:16Z	RUN	UT-MGS	public	DRR000010	DRX000004	DRS000004	DRP000004	1	18079621	650866356	31d85783f724f2b6eb267b8171305112	SAMD00002711	PRJDA34559	-
DRS000004	DRA000004	live	2015-03-26T21:32:35Z	2010-10-14T04:54:44Z	2009-08-06T07:55:10Z	SAMPLE	BioSample	public	SAMD00002711	-	-	-	-	-	-	7931bf5e52cd6e5fedb57e40b7fec95c	SAMD00002711	-	-
DRX000004	DRA000004	live	2015-01-30T13:23:47Z	2010-10-14T04:54:44Z	2009-08-06T07:55:12Z	EXPERIMENT	UT-MGS	public	DRX000004	-	DRS000004	DRP000004	-	-	-	06f0c143e54808d3d8a4e6ad3091196c	SAMD00002711	PRJDA34559	-
DRA000005	DRA000005	live	2021-03-22T22:23:14Z	2010-10-14T04:55:26Z	2009-08-06T07:55:23Z	SUBMISSION	UT-MGS	public	UT-MGS_53	-	-	-	-	-	-	900539205bb9da4040a7c6f0514213e2	-	-	-
DRP000005	DRA000005	live	2020-04-09T00:11:41Z	2010-10-14T04:55:26Z	2009-08-06T07:55:24Z	STUDY	UT-MGS	public	DRP000005	-	-	-	-	-	-	6001079ac6c51ff818f8ed0562e5cdce	-	PRJDA34559	-
DRR000011	DRA000005	live	2021-02-17T05:20:00Z	2010-10-14T04:55:26Z	2009-08-06T07:55:27Z	RUN	UT-MGS	public	DRR000011	DRX000005	DRS000005	DRP000005	1	15788579	568388844	364b720aebf7eb24511f9bf854cecb67	SAMD00010993	PRJDA34559	-
DRR000012	DRA000005	live	2021-03-22T22:23:14Z	2010-10-14T04:55:26Z	2009-08-06T07:55:28Z	RUN	UT-MGS	public	DRR000012	DRX000005	DRS000005	DRP000005	1	15075547	542719692	7435a51e63c93184b0c4fe124df13c74	SAMD00010993	PRJDA34559	-
DRR000013	DRA000005	live	2021-03-08T06:11:58Z	2010-10-14T04:55:26Z	2009-08-06T07:55:30Z	RUN	UT-MGS	public	DRR000013	DRX000005	DRS000005	DRP000005	1	15490013	557640468	10630eb50644690d3f7696a89c36a9d7	SAMD00010993	PRJDA34559	-
DRS000005	DRA000005	live	2015-03-26T21:32:35Z	2010-10-14T04:55:26Z	2009-08-06T07:55:25Z	SAMPLE	BioSample	public	SAMD00010993	-	-	-	-	-	-	f307372d373e181e2c8981aa8ca9011a	SAMD00010993	-	-
DRX000005	DRA000005	live	2015-01-30T13:23:47Z	2010-10-14T04:55:26Z	2009-08-06T07:55:26Z	EXPERIMENT	UT-MGS	public	DRX000005	-	DRS000005	DRP000005	-	-	-	d1eb802b86b27424df2e007c25fc68a6	SAMD00010993	PRJDA34559	-
DRA000006	DRA000006	live	2021-03-28T14:16:54Z	2010-10-14T04:56:11Z	2009-08-06T07:55:39Z	SUBMISSION	UT-MGS	public	UT-MGS_54	-	-	-	-	-	-	16ef61aeab8ec9fa00b8728b02338188	-	-	-
DRP000006	DRA000006	live	2020-04-09T00:11:41Z	2010-10-14T04:56:11Z	2009-08-06T07:55:39Z	STUDY	UT-MGS	public	DRP000006	-	-	-	-	-	-	be7fe3084db31b6107ef6ef89e9dd63e	-	PRJDA34559	-
DRR000014	DRA000006	live	2021-03-01T13:45:48Z	2010-10-14T04:56:11Z	2009-08-06T07:55:41Z	RUN	UT-MGS	public	DRR000014	DRX000006	DRS000006	DRP000006	1	16388392	589982112	0945ec9e8a6c374f613778217cc4a250	SAMD00000723	PRJDA34559	-
DRR000015	DRA000006	live	2021-03-28T14:16:54Z	2010-10-14T04:56:11Z	2009-08-06T07:55:42Z	RUN	UT-MGS	public	DRR000015	DRX000006	DRS000006	DRP000006	1	15287389	550346004	19dc766bd3741790e49cb65f3a56536e	SAMD00000723	PRJDA34559	-
DRR000016	DRA000006	live	2021-03-03T14:15:22Z	2010-10-14T04:56:11Z	2009-08-06T07:55:43Z	RUN	UT-MGS	public	DRR000016	DRX000006	DRS000006	DRP000006	1	15445050	556021800	3dfde545ba878c6c6e75a48c233d0953	SAMD00000723	PRJDA34559	-
DRS000006	DRA000006	live	2015-03-26T21:32:35Z	2010-10-14T04:56:11Z	2009-08-06T07:55:40Z	SAMPLE	BioSample	public	SAMD00000723	-	-	-	-	-	-	3cd3cc44844bde1c25b7172faca6e9fe	SAMD00000723	-	-
DRX000006	DRA000006	live	2015-01-30T13:24:37Z	2010-10-14T04:56:11Z	2009-08-06T07:55:40Z	EXPERIMENT	UT-MGS	public	DRX000006	-	DRS000006	DRP000006	-	-	-	6c83c15d28480fbf168e44ea4efaa0bf	SAMD00000723	PRJDA34559	-
DRA000007	DRA000007	live	2021-03-10T22:21:51Z	2010-10-14T04:57:44Z	2009-08-06T07:55:32Z	SUBMISSION	UT-MGS	public	UT-MGS_55	-	-	-	-	-	-	c8ee0937f5d86497bd11b79149f6406a	-	-	-
DRP000007	DRA000007	live	2020-04-09T00:11:41Z	2010-10-14T04:57:44Z	2009-08-06T07:55:32Z	STUDY	UT-MGS	public	DRP000007	-	-	-	-	-	-	2746e3266d583e141eb936fd42327209	-	PRJDA34559	-
DRR000017	DRA000007	live	2021-03-10T22:21:51Z	2010-10-14T04:57:44Z	2009-08-06T07:55:37Z	RUN	UT-MGS	public	DRR000017	DRX000007	DRS000007	DRP000007	1	19115295	688150620	0d5e0b9e2e2b99a3b23172e6ae26a1e1	SAMD00003005	PRJDA34559	-
DRR000532	DRA000007	live	2021-02-08T23:54:25Z	2010-10-14T04:57:44Z	2010-07-22T09:55:23Z	RUN	UT-MGS	public	DRR000532	DRX000298	DRS000007	DRP000007	1	28171615	1014178140	cc00f7d117b274654743b0033155db9b	SAMD00003005	PRJDA34559	-
DRS000007	DRA000007	live	2015-03-26T21:32:35Z	2010-10-14T04:57:44Z	2009-08-06T07:55:36Z	SAMPLE	BioSample	public	SAMD00003005	-	-	-	-	-	-	ed4a1cd417f0af2d27c9580bc4171665	SAMD00003005	-	-
DRX000007	DRA000007	live	2015-01-30T13:26:38Z	2010-10-14T04:57:44Z	2009-08-06T07:55:36Z	EXPERIMENT	UT-MGS	public	DRX000007	-	DRS000007	DRP000007	-	-	-	a0724217d5285d7ab2f066543bdcb036	SAMD00003005	PRJDA34559	-
DRX000298	DRA000007	live	2015-01-30T13:26:38Z	2010-10-14T04:57:44Z	2010-07-22T09:54:43Z	EXPERIMENT	UT-MGS	public	DRX000298	-	DRS000007	DRP000007	-	-	-	ef64471dcc8eb4dd6724f823c96186e3	SAMD00003005	PRJDA34559	-
DRA000008	DRA000008	live	2021-03-27T21:52:06Z	2010-10-14T04:58:50Z	2009-08-06T07:55:45Z	SUBMISSION	UT-MGS	public	UT-MGS_56	-	-	-	-	-	-	36c6a461dee9579610fd30d8a25a47f7	-	-	-
DRP000008	DRA000008	live	2020-04-09T00:11:42Z	2010-10-14T04:58:50Z	2009-08-06T07:55:45Z	STUDY	UT-MGS	public	DRP000008	-	-	-	-	-	-	5d9ac655658ed3fc3534903288b6bb56	-	PRJDA34559	-
DRR000018	DRA000008	live	2021-03-27T21:52:06Z	2010-10-14T04:58:50Z	2009-08-06T07:55:47Z	RUN	UT-MGS	public	DRR000018	DRX000008	DRS000008	DRP000008	1	12138665	436991940	97e5f0607a5fd4c6c3a1eb14e593cabc	SAMD00003106	PRJDA34559	-
DRR000533	DRA000008	live	2021-02-18T13:33:14Z	2010-10-14T04:58:50Z	2010-07-22T10:00:02Z	RUN	UT-MGS	public	DRR000533	DRX000299	DRS000008	DRP000008	1	33512516	1206450576	d44c38d26b40d3d84dda91083a178c6e	SAMD00003106	PRJDA34559	-
DRS000008	DRA000008	live	2015-03-26T21:32:35Z	2010-10-14T04:58:50Z	2009-08-06T07:55:46Z	SAMPLE	BioSample	public	SAMD00003106	-	-	-	-	-	-	d04d55bf87812fed9cdb13eb46bd6e27	SAMD00003106	-	-
DRX000008	DRA000008	live	2015-01-30T13:26:38Z	2010-10-14T04:58:50Z	2009-08-06T07:55:46Z	EXPERIMENT	UT-MGS	public	DRX000008	-	DRS000008	DRP000008	-	-	-	983e4de3f6dfa6608b65434608410437	SAMD00003106	PRJDA34559	-
DRX000299	DRA000008	live	2015-01-30T13:26:38Z	2010-10-14T04:58:50Z	2010-07-22T09:58:42Z	EXPERIMENT	UT-MGS	public	DRX000299	-	DRS000008	DRP000008	-	-	-	cb18fe1ec54c68cee759af7a6cfca0fd	SAMD00003106	PRJDA34559	-
DRA000009	DRA000009	live	2021-03-20T06:17:24Z	2011-03-30T04:00:00Z	2009-08-21T03:01:02Z	SUBMISSION	JAMSTEC	public	HGMM454sub	-	-	-	-	-	-	e490ec48c050205ea29ee0d55d5e1ef0	-	-	-
DRP000009	DRA000009	live	2020-04-09T00:10:47Z	2011-03-30T04:00:00Z	2009-08-21T03:01:03Z	STUDY	JAMSTEC	public	DRP000009	-	-	-	-	-	-	b0c9ba5c3e43242646304387311d5880	-	PRJNA39577	-
DRR000019	DRA000009	live	2021-03-20T06:17:24Z	2011-03-30T04:00:00Z	2009-08-21T03:01:07Z	RUN	JAMSTEC	public	DRR000019	DRX000009	DRS000009	DRP000009	1	11052	2838707	c6194c2b11b1c8ebfb5528b3d3b1a044	SAMD00010984	PRJNA39577	-
DRR000020	DRA000009	live	2021-03-07T06:07:55Z	2011-03-30T04:00:00Z	2009-08-21T03:01:07Z	RUN	JAMSTEC	public	DRR000020	DRX000009	DRS000009	DRP000009	1	486919	124415412	aea5b8d19f30ec0534e4eb107d768634	SAMD00010984	PRJNA39577	-
DRR000021	DRA000009	live	2021-02-16T21:23:25Z	2011-03-30T04:00:00Z	2009-08-21T03:01:08Z	RUN	JAMSTEC	public	DRR000021	DRX000009	DRS000009	DRP000009	1	518041	132367035	1df9910c55153ff30b978c6f9a6b6b99	SAMD00010984	PRJNA39577	-
DRS000009	DRA000009	live	2015-02-05T09:53:43Z	2011-03-30T04:00:00Z	2009-08-21T03:01:04Z	SAMPLE	BioSample	public	SAMD00010984	-	-	-	-	-	-	856dd5f9a78bfa1fc858cb6bc32ba58a	SAMD00010984	-	-
DRX000009	DRA000009	live	2014-07-31T17:38:07Z	2011-03-30T04:00:00Z	2009-08-21T03:01:05Z	EXPERIMENT	JAMSTEC	public	DRX000009	-	DRS000009	DRP000009	-	-	-	0f7497ab6b0ceffab793cd6d27e77740	SAMD00010984	PRJNA39577	-
DRA000010	DRA000010	live	2021-03-23T13:47:37Z	2010-03-30T05:16:39Z	2009-08-21T06:09:01Z	SUBMISSION	NIAS	public	Whole genome shotgun sequences of Koshihikari	-	-	-	-	-	-	63305755cb740f3f61446ed9467ef34b	-	-	-
DRP000010	DRA000010	live	2020-08-25T15:30:25Z	2015-07-31T15:20:47Z	2009-08-21T06:09:02Z	STUDY	NIAS	public	DRP000010	-	-	-	-	-	-	4f1aa8d4e0e87ee5ecfcb5b631bcdde1	-	PRJDA39809	-
DRR000022	DRA000010	live	2021-03-23T13:47:37Z	2010-03-30T05:16:39Z	2009-08-21T06:09:05Z	RUN	NIAS	public	DRR000022	DRX000010	DRS000010	DRP000010	1	20435886	653948352	598e7c2dd67fc5f37005ebded28184ed	SAMD00009497	PRJDA39809	-
DRR000023	DRA000010	live	2021-02-11T08:40:14Z	2010-03-30T05:16:39Z	2009-08-21T06:09:05Z	RUN	NIAS	public	DRR000023	DRX000010	DRS000010	DRP000010	1	18443432	590189824	fd4b225af44de11d59e0c5b257f1fccd	SAMD00009497	PRJDA39809	-
DRR000024	DRA000010	live	2021-03-20T06:17:24Z	2010-03-30T05:16:39Z	2009-08-21T06:09:06Z	RUN	NIAS	public	DRR000024	DRX000010	DRS000010	DRP000010	1	30370259	1002218547	5ed9853bc0cf29578b0d71c2443307bb	SAMD00009497	PRJDA39809	-
DRR000025	DRA000010	live	2021-02-16T13:35:42Z	2010-03-30T05:16:39Z	2009-08-21T06:09:07Z	RUN	NIAS	public	DRR000025	DRX000010	DRS000010	DRP000010	1	33985039	1121506287	57e481fd664c96ed678a1bb39c8aa833	SAMD00009497	PRJDA39809	-
DRR000026	DRA000010	live	2021-02-11T18:25:14Z	2010-03-30T05:16:39Z	2009-08-21T06:09:07Z	RUN	NIAS	public	DRR000026	DRX000010	DRS000010	DRP000010	1	36837754	1215645882	d98e62e36b1ffcafac3821a0a19ff620	SAMD00009497	PRJDA39809	-
DRR000027	DRA000010	live	2021-02-05T15:52:14Z	2010-03-30T05:16:39Z	2009-08-21T06:09:08Z	RUN	NIAS	public	DRR000027	DRX000010	DRS000010	DRP000010	1	37241731	1228977123	88af415661a4a0bedd115f81405d10a2	SAMD00009497	PRJDA39809	-
DRR000028	DRA000010	live	2021-02-12T00:47:16Z	2010-03-30T05:16:39Z	2009-08-21T06:09:08Z	RUN	NIAS	public	DRR000028	DRX000010	DRS000010	DRP000010	1	29521741	974217453	52c7cb998be149089e8c4ca66ee01cf6	SAMD00009497	PRJDA39809	-
DRR000029	DRA000010	live	2021-02-16T05:18:41Z	2010-03-30T05:16:39Z	2009-08-21T06:09:09Z	RUN	NIAS	public	DRR000029	DRX000010	DRS000010	DRP000010	1	37011579	1221382107	23f7498b65b7414338e67514d77c6c4c	SAMD00009497	PRJDA39809	-
DRR000030	DRA000010	live	2021-02-10T16:13:20Z	2010-03-30T05:16:39Z	2009-08-21T06:09:09Z	RUN	NIAS	public	DRR000030	DRX000010	DRS000010	DRP000010	1	28276748	933132684	dc6271211240b3afa04ef296cb2c73d9	SAMD00009497	PRJDA39809	-
DRS000010	DRA000010	live	2015-02-05T09:53:39Z	2010-03-30T05:16:39Z	2009-08-21T06:09:03Z	SAMPLE	BioSample	public	SAMD00009497	-	-	-	-	-	-	69b7589ea42c5f89cb5701b62546f5cd	SAMD00009497	-	-
DRX000010	DRA000010	live	2014-07-31T17:38:07Z	2010-03-30T05:16:39Z	2009-08-21T06:09:04Z	EXPERIMENT	NIAS	public	DRX000010	-	DRS000010	DRP000010	-	-	-	78e9b193927739f51f25d67e79e71360	SAMD00009497	PRJDA39809	-
DRA000011	DRA000011	live	2021-02-13T21:29:22Z	2012-05-17T02:22:40Z	2009-08-24T07:56:18Z	SUBMISSION	UT-MGS	public	UT-MGS_57	-	-	-	-	-	-	de96fd72447c2d5bac01f1a1bd3df7fd	-	-	-
DRP000011	DRA000011	live	2020-04-09T00:11:45Z	2012-05-17T02:22:40Z	2009-08-24T07:56:18Z	STUDY	UT-MGS	public	DRP000011	-	-	-	-	-	-	1f2ee428c7c023958a46dd14ad250ea3	-	PRJDA34559	-
DRR000031	DRA000011	live	2021-02-13T21:29:22Z	2012-05-17T02:22:40Z	2009-08-24T07:56:19Z	RUN	UT-MGS	public	DRR000031	DRX000011	DRS000011	DRP000011	1	4653053	167509908	1c28e8b13e4361c8835781c2abd5f995	SAMD00009330	PRJDA34559	-
DRS000011	DRA000011	live	2015-02-05T09:53:31Z	2012-05-17T02:22:40Z	2009-08-24T07:56:19Z	SAMPLE	BioSample	public	SAMD00009330	-	-	-	-	-	-	272c25356930fbee9af5f17ffde4e613	SAMD00009330	-	-
DRX000011	DRA000011	live	2014-07-31T17:38:08Z	2012-05-17T02:22:40Z	2009-08-24T07:56:19Z	EXPERIMENT	UT-MGS	public	DRX000011	-	DRS000011	DRP000011	-	-	-	01742ffa567d90be55de74048e6c203d	SAMD00009330	PRJDA34559	-
DRA000012	DRA000012	live	2021-03-19T06:24:53Z	2012-05-17T02:23:55Z	2009-08-24T07:56:10Z	SUBMISSION	UT-MGS	public	UT-MGS_58	-	-	-	-	-	-	8fc1f38706cf4107b91d7ef21949446a	-	-	-
DRP000012	DRA000012	live	2020-04-09T00:11:44Z	2012-05-17T02:23:55Z	2009-08-24T07:56:11Z	STUDY	UT-MGS	public	DRP000012	-	-	-	-	-	-	4c587d9064f8e98f4c7afc5bb28d714c	-	PRJDA34559	-
DRR000032	DRA000012	live	2021-03-19T06:24:53Z	2012-05-17T02:23:55Z	2009-08-24T07:56:12Z	RUN	UT-MGS	public	DRR000032	DRX000012	DRS000012	DRP000012	1	4824276	173673936	23892aaa43c166324c785278d2c1b8d3	SAMD00003753	PRJDA34559	-
DRS000012	DRA000012	live	2015-02-05T09:53:28Z	2012-05-17T02:23:55Z	2009-08-24T07:56:11Z	SAMPLE	BioSample	public	SAMD00003753	-	-	-	-	-	-	851f21eb59046ad25adb4bd31a8c98ca	SAMD00003753	-	-
DRX000012	DRA000012	live	2014-07-31T17:38:08Z	2012-05-17T02:23:55Z	2009-08-24T07:56:11Z	EXPERIMENT	UT-MGS	public	DRX000012	-	DRS000012	DRP000012	-	-	-	ca8dfbc23fad5e97cd260c6a38f07d3a	SAMD00003753	PRJDA34559	-
DRA000013	DRA000013	live	2021-02-05T00:00:28Z	2012-05-17T02:24:32Z	2009-08-24T07:56:15Z	SUBMISSION	UT-MGS	public	UT-MGS_59	-	-	-	-	-	-	df83b2f0f0bebdc41c11ccc9f4ae60c7	-	-	-
DRP000013	DRA000013	live	2020-04-09T00:11:45Z	2012-05-17T02:24:32Z	2009-08-24T07:56:16Z	STUDY	UT-MGS	public	DRP000013	-	-	-	-	-	-	296edd8f592fbfa1ce018511f3fcfd82	-	PRJDA34559	-
DRR000033	DRA000013	live	2021-02-05T00:00:28Z	2012-05-17T02:24:32Z	2009-08-24T07:56:17Z	RUN	UT-MGS	public	DRR000033	DRX000013	DRS000013	DRP000013	1	4996707	179881452	5c9eabc19c7eb3348ac82ee0f81f4c8b	SAMD00009390	PRJDA34559	-
DRS000013	DRA000013	live	2015-02-05T09:53:25Z	2012-05-17T02:24:32Z	2009-08-24T07:56:16Z	SAMPLE	BioSample	public	SAMD00009390	-	-	-	-	-	-	b4681384e45a7ffd91d335349046f681	SAMD00009390	-	-
DRX000013	DRA000013	live	2014-07-31T17:38:08Z	2012-05-17T02:24:32Z	2009-08-24T07:56:17Z	EXPERIMENT	UT-MGS	public	DRX000013	-	DRS000013	DRP000013	-	-	-	fc63e65ceaf42bde9c4ea64606cbb5a5	SAMD00009390	PRJDA34559	-
DRA000014	DRA000014	live	2021-02-07T07:52:28Z	2012-05-17T02:25:04Z	2009-08-24T07:56:07Z	SUBMISSION	UT-MGS	public	UT-MGS_60	-	-	-	-	-	-	5986c6ccf809ecdb6274e8e5ed34af09	-	-	-
DRP000014	DRA000014	live	2020-04-09T00:11:44Z	2012-05-17T02:25:04Z	2009-08-24T07:56:07Z	STUDY	UT-MGS	public	DRP000014	-	-	-	-	-	-	da1e8fc2f4ecf228aa2c810647cbde7e	-	PRJDA34559	-
DRR000034	DRA000014	live	2021-02-07T07:52:28Z	2012-05-17T02:25:04Z	2009-08-24T07:56:09Z	RUN	UT-MGS	public	DRR000034	DRX000014	DRS000014	DRP000014	1	5077036	182773296	9cae69ddd5d8b0f9a8a4dfdf818ee822	SAMD00009104	PRJDA34559	-
DRS000014	DRA000014	live	2015-02-05T09:53:15Z	2012-05-17T02:25:04Z	2009-08-24T07:56:08Z	SAMPLE	BioSample	public	SAMD00009104	-	-	-	-	-	-	b5e3d3a6e345be4a67149ead10647db0	SAMD00009104	-	-
DRX000014	DRA000014	live	2014-07-31T17:39:07Z	2012-05-17T02:25:04Z	2009-08-24T07:56:08Z	EXPERIMENT	UT-MGS	public	DRX000014	-	DRS000014	DRP000014	-	-	-	a15163b177197384346cfe3dd69488c7	SAMD00009104	PRJDA34559	-
DRA000015	DRA000015	live	2021-02-06T23:50:37Z	2012-05-17T02:25:21Z	2009-08-24T07:56:02Z	SUBMISSION	UT-MGS	public	UT-MGS_61	-	-	-	-	-	-	03d603a9afdac29f3f5161aa7925499c	-	-	-
DRP000015	DRA000015	live	2020-04-09T00:11:42Z	2012-05-17T02:25:21Z	2009-08-24T07:56:03Z	STUDY	UT-MGS	public	DRP000015	-	-	-	-	-	-	c658a167897bde43fd1e6eea79c9391e	-	PRJDA34559	-
